state	from	to	time
10000	NorthAmerica	Asia	0.15688735051938818
10000	Australia	Europe	0.19307107881257668
10000	Australia	Europe	0.1392253891350562
10000	Australia	NorthAmerica	0.1311472000736631
10000	Australia	NorthAmerica	0.1750336148523345
10000	Australia	Europe	0.15629210701837098
10000	Europe	Australia	0.5905042212026405
10000	Australia	NorthAmerica	0.19328258604053103
10000	Australia	Europe	0.17935366207285297
10000	Australia	Europe	0.3446652473981161
10000	Europe	Australia	0.3180417972130359
10000	Australia	Asia	0.31283675097591235
10000	Australia	NorthAmerica	0.14545529323038917
10000	Australia	Asia	0.15594146821256533
10000	Australia	Europe	0.14349183842720978
10000	Australia	Europe	0.18469072948035925
10000	Australia	Europe	0.13550215121301543
10000	Australia	Europe	0.16886414527456714
10000	Australia	NorthAmerica	0.19456044251543633
10000	Australia	Europe	0.11357923252180466
10000	Australia	NorthAmerica	0.1340905402611876
10000	Australia	Europe	0.19448691341004043
10000	Australia	NorthAmerica	0.20098569701753183
10000	Australia	Europe	0.17101712023134827
10000	Australia	NorthAmerica	0.21456463876237541
10000	Australia	Europe	0.16496390244211395
10000	Australia	Europe	0.18302923910634858
10000	Europe	Australia	1.0610106393682688
10000	Australia	NorthAmerica	1.0548854147545486
10000	NorthAmerica	Asia	0.7743938717518373
10000	Europe	Australia	0.22945257087217996
10000	Australia	NorthAmerica	0.1505687081171753
10000	Australia	Europe	0.1424103123923774
10000	Australia	Europe	0.09893283892358581
10000	Australia	NorthAmerica	0.16137043448270458
10000	Australia	Europe	0.21214566012884525
10000	Australia	Europe	0.173365465889443
10000	Australia	Europe	0.5809415716761429
10000	Europe	Australia	0.5117288352892464
10000	Australia	Asia	0.41584219478935297
10000	Australia	NorthAmerica	0.1699908469752775
10000	Australia	NorthAmerica	0.15798172703095573
10000	Australia	Europe	0.13663153230101766
10000	Europe	Australia	0.5577312770025049
10000	Australia	Europe	0.5312112586971245
10000	Europe	Australia	0.30546042566720055
10000	Australia	NorthAmerica	0.09995880006231034
10000	Australia	Europe	0.09085809276978728
10000	Australia	Europe	0.11281838664322871
10000	Australia	Europe	0.13339666967332395
10000	Australia	SouthAmerica	0.1645943826746864
10000	Australia	NorthAmerica	0.1926097337158151
10000	Australia	Europe	0.25520307819809673
10000	Australia	Europe	0.1461267352860714
10000	Australia	NorthAmerica	0.11185196012712117
10000	Australia	Europe	0.17139946467588887
10000	Australia	NorthAmerica	0.17378681308641897
10000	Australia	NorthAmerica	0.18108107347664323
10000	Australia	NorthAmerica	0.1263399732045358
10000	Europe	Australia	0.1481418266996616
10000	Australia	Europe	0.10705215458796166
10000	Australia	Asia	0.1521122275562785
10000	Australia	Europe	0.15928552213552952
10000	Australia	NorthAmerica	0.3678467367292364
10000	Europe	Australia	0.1186105812228046
10000	Australia	NorthAmerica	0.16776711247043358
10000	Europe	Australia	0.15759513264178285
10000	Australia	Europe	0.13322967257777943
10000	Australia	SouthAmerica	0.09103309958156532
10000	Australia	NorthAmerica	0.14276014546553487
10000	Australia	Europe	0.15185476095273967
10000	Australia	NorthAmerica	0.17793188698759926
10000	Australia	NorthAmerica	0.16828187581809131
10000	Australia	Europe	0.13667478704342698
10000	Australia	Europe	0.13929747170692813
10000	Australia	Europe	0.11750140051317205
10000	Australia	NorthAmerica	0.12464769492060827
10000	Australia	Europe	0.09955527334093883
10000	Australia	NorthAmerica	0.1607985232384372
10000	Australia	Europe	0.14800302952692507
10000	Australia	Europe	0.32315640009254826
10000	Europe	Australia	0.24482384673429192
10000	Australia	Europe	0.18575182545904897
10000	Australia	Asia	0.357236948355084
10000	Australia	NorthAmerica	0.20580027974552143
10000	Australia	NorthAmerica	0.13145495558339626
10000	Australia	Europe	0.19779674714889497
10000	Australia	Europe	0.23019109618959485
10000	Australia	Europe	0.1817412442840878
10000	Australia	Europe	0.20490003203478033
10000	Europe	Australia	0.14073576467718918
10000	Australia	Europe	0.1028268827488691
10000	Australia	Europe	0.09909341305692727
10000	Australia	NorthAmerica	0.11605608989241117
10000	Australia	NorthAmerica	0.1637488632332531
10000	Australia	NorthAmerica	0.09436028370788797
10000	Australia	NorthAmerica	0.03102207126353669
10000	Australia	Asia	0.20386178232522859
10000	NorthAmerica	Africa	0.10284650472562543
10000	Australia	Europe	0.19273896066881832
10000	Australia	Europe	0.26262363923678145
10000	Australia	NorthAmerica	0.4341575344664063
10000	NorthAmerica	Asia	0.3594292599007435
10000	Australia	NorthAmerica	0.5069390758871761
10000	Europe	Australia	0.20120052565863497
10000	Australia	Asia	0.18290759940759022
10000	Europe	Australia	0.16661067189288095
10000	Australia	Europe	0.1640659281083965
10000	Australia	NorthAmerica	0.3746155402175583
10000	Australia	NorthAmerica	0.13063591311611805
10000	Europe	Australia	0.14873341570481566
10000	Europe	Africa	0.23170754868633697
10000	Australia	Europe	0.3017949242828969
10000	Europe	Australia	0.28006388336100707
10000	Australia	Europe	0.3867802727104687
10000	Australia	Asia	0.2939338593047764
10000	Australia	NorthAmerica	0.2957913380154172
10000	NorthAmerica	Asia	0.15248714761356277
10000	Australia	NorthAmerica	0.1799265463039385
10000	Europe	Australia	0.10300830852542346
10000	Australia	NorthAmerica	0.23408390205299176
10000	Australia	NorthAmerica	0.18610102175947862
10000	Australia	Europe	0.13365101794352952
10000	Australia	Asia	0.12009041851335628
10000	Australia	Europe	0.14667804517340638
10000	Australia	NorthAmerica	0.15328601399646344
10000	Australia	Europe	0.10074643795021654
10000	Australia	NorthAmerica	0.20098851932913556
10000	Australia	NorthAmerica	0.2276586870975503
10000	Europe	Australia	0.13339812869132606
10000	Australia	Europe	0.09586189194419925
10000	Australia	Europe	0.17613737669258944
10000	Australia	NorthAmerica	0.19849996338158263
10000	Australia	Europe	0.1585180243802822
10000	Australia	Europe	0.19230261096976078
10000	Australia	NorthAmerica	0.2067939155168004
10000	Europe	Australia	0.23075247557910467
10000	Australia	Europe	0.4006972487718869
10000	Australia	Europe	0.10709390352216676
10000	Australia	Europe	0.21416293329267772
10000	Australia	Europe	0.42171891166573616
10000	Europe	Australia	0.3929306131680997
10000	Australia	Europe	0.17171893261513432
10000	Europe	Australia	0.9711537128417427
10000	Australia	Europe	0.1660276552156881
10000	Australia	NorthAmerica	0.20602501426293054
10000	Australia	NorthAmerica	0.1691784705898553
10000	Australia	Europe	0.18485634173285986
10000	Europe	Australia	0.1970267848847111
10000	Australia	Europe	0.2857794837777373
10000	Australia	NorthAmerica	0.19337925688571297
10000	Australia	Europe	0.25625450495140445
10000	Europe	Australia	0.2675121058721722
10000	Europe	Australia	0.2879698366998864
10000	Australia	Europe	0.33264165981954713
10000	Australia	Europe	0.146628203293556
10000	Australia	Europe	0.15888031244469888
10000	Europe	Australia	0.21727777336021856
10000	Australia	NorthAmerica	0.150614030873472
10000	Australia	Europe	0.16779589530959912
10000	Europe	Australia	1.039396492940201
10000	Australia	Europe	0.6861963884487836
10000	Europe	Australia	0.6505999991705482
10000	Australia	Europe	0.21629156416340364
10000	Australia	Europe	0.28904218635674905
10000	Australia	Europe	0.46810172132163963
10000	Australia	NorthAmerica	0.21269949809685224
10000	Australia	Europe	0.150673546427819
10000	Australia	NorthAmerica	0.1397170751200106
10000	Australia	Europe	0.21416506153724219
10000	Australia	Europe	0.20747131478704167
10000	Europe	Australia	0.1913953659663749
20000	Australia	Asia	0.1743819488696462
20000	Australia	Europe	0.3512171651929198
20000	Australia	NorthAmerica	0.1540452413671756
20000	Australia	NorthAmerica	0.2191240770059335
20000	Australia	Europe	0.17317325993410565
20000	Europe	Australia	0.29883529758599786
20000	Australia	NorthAmerica	0.43788482117168526
20000	Australia	Asia	0.16284980544919692
20000	Australia	Europe	0.12313271026243641
20000	Australia	Europe	0.19638412419445783
20000	Australia	Europe	0.18657508989610921
20000	Australia	NorthAmerica	0.1927982938876115
20000	Australia	Europe	0.2750048262734426
20000	Europe	Australia	0.2151972882762353
20000	Europe	Australia	0.15667904520596265
20000	Australia	NorthAmerica	0.13198689283816994
20000	Australia	Europe	0.19021637547552633
20000	Australia	NorthAmerica	0.1720708330604906
20000	Australia	NorthAmerica	0.19113735937725296
20000	Australia	Europe	0.2799399812013144
20000	Europe	Australia	0.15797234887924075
20000	Australia	Europe	0.13756245056149924
20000	Australia	Europe	0.18691896878249176
20000	Australia	Asia	0.10909659013807785
20000	Australia	Europe	0.214532993584082
20000	Australia	Europe	0.14201192333785795
20000	Australia	Europe	0.20132333771263602
20000	Europe	Australia	0.15983489069663134
20000	Australia	NorthAmerica	0.209133050649502
20000	Australia	Europe	0.13300247195083298
20000	Australia	Europe	0.169421432894946
20000	Australia	Europe	0.17958589050476886
20000	Europe	Australia	0.7716964631151809
20000	Australia	Asia	0.7042383175861094
20000	Australia	Europe	0.09011924162049495
20000	Australia	NorthAmerica	0.49748514161777363
20000	Australia	NorthAmerica	0.19072772334756896
20000	Australia	Europe	0.15026101487618818
20000	Australia	Europe	0.17653896623809456
20000	Australia	NorthAmerica	0.26632753965161027
20000	Australia	Europe	0.11668803389770879
20000	Australia	Europe	0.17836300592432824
20000	Australia	SouthAmerica	0.1432306014322794
20000	Australia	NorthAmerica	0.1503295671419002
20000	Australia	Europe	0.24733522813626577
20000	Australia	NorthAmerica	0.18331070996735077
20000	Australia	Europe	0.1554913420761527
20000	Australia	Europe	0.43516676806927534
20000	Australia	Europe	0.16870215072861247
20000	Australia	Asia	0.26294623240923504
20000	Australia	Europe	0.2554226468366928
20000	Australia	Europe	0.20630551774689943
20000	Australia	NorthAmerica	0.38035882452093156
20000	Australia	Europe	0.2267548831188323
20000	Europe	Australia	0.14873260227190116
20000	Australia	Europe	0.1313913907015523
20000	Australia	NorthAmerica	0.38274444785766537
20000	Australia	SouthAmerica	0.09293998993286301
20000	Australia	NorthAmerica	0.14672556635098138
20000	Australia	Europe	0.18213155557493127
20000	Australia	NorthAmerica	0.19007813714893612
20000	Australia	Europe	0.16642599030765
20000	Australia	Europe	0.09245792548324624
20000	Australia	Europe	0.22679022396854165
20000	Europe	Australia	0.1938577121379017
20000	Australia	NorthAmerica	0.18093846043850387
20000	Australia	Europe	0.10168485932711747
20000	Australia	NorthAmerica	0.2137765474915866
20000	Australia	Europe	0.2783187674905194
20000	Australia	NorthAmerica	0.3729714980485028
20000	Australia	NorthAmerica	0.1932773433800019
20000	Europe	Australia	0.21394833122831203
20000	Australia	Europe	0.30173766280837255
20000	Europe	Australia	0.23784421824152846
20000	Australia	Europe	0.25801099165528524
20000	Europe	Australia	0.2797991881412335
20000	Australia	Europe	0.17633754555139544
20000	Australia	Europe	0.19726727971899086
20000	Australia	Europe	0.22669642643799195
